,Playername,Teamname,Playerposition,2019tar,2019rec,2019recyds,2019avgrecyds,2019rectd,2019rushcar,2019rushyds,2019rushtd,2019fpts,2020tar,2020rec,2020recyds,2020avgrecyds,2020rectd,2020rushcar,2020rushyds,2020rushtd,2020fpts
35,Taysom Hill,Saints,TE,22.0,19.0,234.0,12.3,6.0,27.0,156.0,1.0,102.2,22.0,15.0,165.0,11.1,1.0,37.0,216.0,2.0,72.39
36,Jeremy Sprinkle,FA,TE,40.0,26.0,241.0,9.3,1.0,0.0,0.0,0.0,56.1,45.0,30.0,310.0,10.5,2.0,0.0,0.0,0.0,71.64
37,Anthony Firkser,Titans,TE,23.0,14.0,204.0,14.6,1.0,0.0,0.0,0.0,40.4,37.0,25.0,298.0,12.0,2.0,0.0,0.0,0.0,68.19
38,O.J. Howard,Buccaneers,TE,53.0,34.0,459.0,13.5,1.0,0.0,0.0,0.0,83.9,36.0,23.0,307.0,13.3,2.0,0.0,0.0,0.0,66.22
39,Will Dissly,Seahawks,TE,26.0,23.0,262.0,11.4,4.0,1.0,7.0,0.0,73.9,32.0,23.0,268.0,11.9,3.0,0.0,0.0,0.0,64.58
40,David Njoku,Browns,TE,9.0,5.0,41.0,8.2,1.0,0.0,0.0,0.0,15.1,36.0,21.0,252.0,11.8,3.0,0.0,0.0,0.0,62.15
41,Vance McDonald,Steelers,TE,55.0,38.0,273.0,7.2,3.0,1.0,2.0,0.0,83.5,35.0,23.0,238.0,10.2,2.0,0.0,0.0,0.0,58.82
42,Josh Oliver,Jaguars,TE,6.0,3.0,15.0,5.0,0.0,0.0,0.0,0.0,4.5,33.0,22.0,242.0,11.0,1.0,0.0,0.0,0.0,54.55
43,Logan Thomas,FA,TE,28.0,16.0,173.0,10.8,1.0,0.0,0.0,0.0,39.3,34.0,22.0,236.0,10.8,1.0,0.0,0.0,0.0,54.25
44,Trey Burton,Colts,TE,23.0,14.0,84.0,6.0,0.0,0.0,0.0,0.0,22.4,31.0,21.0,215.0,10.2,2.0,0.0,0.0,0.0,53.05
45,Dalton Schultz,Cowboys,TE,2.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,1.6,28.0,19.0,207.0,10.9,2.0,0.0,0.0,0.0,48.83
46,Cole Kmet,Bears,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,221.0,11.3,1.0,0.0,0.0,0.0,48.43
47,Jesse James,Lions,TE,26.0,16.0,142.0,8.9,0.0,0.0,0.0,0.0,30.2,28.0,19.0,193.0,10.1,1.0,0.0,0.0,0.0,46.91
48,Matt LaCosse,Patriots,TE,19.0,13.0,131.0,10.1,1.0,0.0,0.0,0.0,32.1,26.0,17.0,187.0,10.9,2.0,0.0,0.0,0.0,45.18
49,Devin Asiasi,Patriots,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,204.0,12.2,1.0,0.0,0.0,0.0,45.03
50,Jaeden Graham,Falcons,TE,10.0,9.0,149.0,16.6,1.0,0.0,0.0,0.0,29.9,24.0,17.0,191.0,11.4,1.0,0.0,0.0,0.0,44.1
51,Josh Hill,Saints,TE,35.0,25.0,226.0,9.0,3.0,0.0,0.0,0.0,65.6,22.0,15.0,146.0,9.6,2.0,0.0,0.0,0.0,40.19
52,Kaden Smith,Giants,TE,42.0,31.0,268.0,8.6,3.0,0.0,0.0,0.0,75.8,22.0,15.0,150.0,9.9,1.0,0.0,0.0,0.0,37.64
53,Marcedes Lewis,Packers,TE,18.0,15.0,156.0,10.4,1.0,0.0,0.0,0.0,36.6,21.0,14.0,145.0,10.3,1.0,0.0,0.0,0.0,37.3
54,Ryan Griffin,Jets,TE,40.0,34.0,320.0,9.4,5.0,0.0,0.0,0.0,98.0,21.0,14.0,134.0,9.7,1.0,0.0,0.0,0.0,33.58
55,Virgil Green,Chargers,TE,13.0,9.0,78.0,8.7,1.0,0.0,0.0,0.0,22.8,20.0,13.0,137.0,10.2,1.0,0.0,0.0,0.0,32.51
56,Jason Witten,Raiders,TE,83.0,63.0,529.0,8.4,4.0,0.0,0.0,0.0,139.9,18.0,13.0,119.0,9.0,1.0,0.0,0.0,0.0,31.12
57,Deon Yelder,Chiefs,TE,4.0,3.0,50.0,16.7,0.0,0.0,0.0,0.0,8.0,17.0,11.0,129.0,11.4,1.0,0.0,0.0,0.0,30.53
58,Maxx Williams,Cardinals,TE,19.0,15.0,202.0,13.5,1.0,0.0,0.0,0.0,41.2,16.0,12.0,117.0,9.7,1.0,0.0,0.0,0.0,29.74
59,Ricky Seals-Jones,Chiefs,TE,21.0,14.0,229.0,16.4,4.0,0.0,0.0,0.0,58.9,17.0,10.0,128.0,13.2,1.0,0.0,0.0,0.0,29.37
60,Blake Bell,Cowboys,TE,13.0,8.0,67.0,8.4,0.0,0.0,0.0,0.0,14.7,17.0,11.0,122.0,10.9,1.0,0.0,0.0,0.0,29.31
61,Demetrius Harris,Bears,TE,27.0,15.0,149.0,9.9,3.0,0.0,0.0,0.0,47.9,17.0,11.0,112.0,10.6,1.0,0.0,0.0,0.0,28.15
62,Foster Moreau,Raiders,TE,25.0,21.0,174.0,8.3,5.0,0.0,0.0,0.0,68.4,16.0,11.0,111.0,9.7,1.0,0.0,0.0,0.0,28.13
63,Drew Sample,Bengals,TE,6.0,5.0,30.0,6.0,0.0,0.0,0.0,0.0,8.0,16.0,11.0,118.0,10.9,1.0,0.0,0.0,0.0,27.01
64,Cameron Brate,Buccaneers,TE,56.0,36.0,311.0,8.6,4.0,0.0,0.0,0.0,91.1,15.0,10.0,97.0,9.8,1.0,0.0,0.0,0.0,25.86
65,MyCole Pruitt,Titans,TE,8.0,6.0,90.0,15.0,1.0,0.0,0.0,0.0,21.0,14.0,10.0,106.0,11.0,1.0,0.0,0.0,0.0,25.28
66,Tyler Kroft,Bills,TE,13.0,6.0,71.0,11.8,1.0,0.0,0.0,0.0,19.1,15.0,10.0,99.0,10.1,1.0,0.0,0.0,0.0,25.08
67,Dalton Keene,Patriots,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,110.0,11.0,1.0,0.0,0.0,0.0,25.02
68,Mo Alie-Cox,Colts,TE,11.0,8.0,93.0,11.6,0.0,0.0,0.0,0.0,17.3,10.0,7.0,87.0,12.6,1.0,0.0,0.0,0.0,19.99
69,Chris Manhertz,Panthers,TE,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,2.1,12.0,8.0,87.0,11.1,1.0,0.0,0.0,0.0,19.89
70,Jordan Thomas,Texans,TE,3.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,1.8,11.0,7.0,78.0,10.5,1.0,0.0,0.0,0.0,19.8
71,Jacob Hollister,Seahawks,TE,59.0,41.0,349.0,8.5,3.0,0.0,0.0,0.0,93.9,10.0,7.0,72.0,10.0,1.0,0.0,0.0,0.0,18.51
72,Hale Hentges,FA,TE,14.0,8.0,103.0,12.9,1.0,0.0,0.0,0.0,24.3,11.0,7.0,83.0,11.2,0.0,0.0,0.0,0.0,18.43
73,Durham Smythe,Dolphins,TE,12.0,7.0,65.0,9.3,0.0,0.0,0.0,0.0,13.5,11.0,8.0,79.0,10.5,0.0,0.0,0.0,0.0,18.34
74,Josiah Deguara,Packers,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,72.0,9.7,1.0,0.0,0.0,0.0,18.02
75,James O'Shaughnessy,Jaguars,TE,20.0,14.0,153.0,10.9,2.0,0.0,0.0,0.0,41.3,11.0,7.0,74.0,10.0,0.0,0.0,0.0,0.0,17.62
76,Kahale Warring,Texans,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,73.0,10.5,1.0,0.0,0.0,0.0,17.49
77,Ross Dwelley,49ers,TE,22.0,15.0,91.0,6.1,2.0,0.0,0.0,0.0,36.1,10.0,7.0,70.0,10.8,1.0,0.0,0.0,0.0,17.45
78,Tyler Conklin,Vikings,TE,10.0,8.0,58.0,7.3,0.0,0.0,0.0,0.0,13.8,10.0,7.0,79.0,11.6,0.0,0.0,0.0,0.0,17.34
79,Nick Vannett,Broncos,TE,20.0,17.0,166.0,9.8,0.0,0.0,0.0,0.0,33.6,10.0,7.0,69.0,9.8,0.0,0.0,0.0,0.0,16.95
80,Harrison Bryant,Browns,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,71.0,10.9,1.0,0.0,0.0,0.0,16.82
81,Derek Carrier,Raiders,TE,19.0,13.0,108.0,8.3,1.0,1.0,27.0,0.0,32.5,7.0,5.0,51.0,10.4,0.0,0.0,0.0,0.0,12.25
82,Zach Gentry,Steelers,TE,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.4,6.0,4.0,43.0,11.1,0.0,0.0,0.0,0.0,10.52
83,Levine Toilolo,Giants,TE,2.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,44.0,11.6,0.0,0.0,0.0,0.0,10.39
84,Adam Shaheen,Bears,TE,13.0,9.0,74.0,8.2,0.0,0.0,0.0,0.0,16.4,6.0,4.0,42.0,10.5,0.0,0.0,0.0,0.0,10.18
85,Carson Meier,Falcons,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,42.0,10.5,0.0,0.0,0.0,0.0,10.03
86,Adam Trautman,Saints,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,42.0,11.8,0.0,0.0,0.0,0.0,9.97
87,Josh Perkins,Eagles,TE,13.0,9.0,87.0,9.7,1.0,0.0,0.0,0.0,23.7,6.0,4.0,41.0,11.4,0.0,0.0,0.0,0.0,9.57
