,Playername,Playerposition,Teamname,2019completed1-39,2019attempted1-39,2019completed40-49,2019attempted40-49,2019completed50+,2019attempted50+,2019completedtot,2019attemptedtot,2019completedxp,2019attemptedxp,2019fpts,2020completed1-39,2020attempted1-39,2020completed40-49,2020attempted40-49,2020completed50+,2020attempted50+,2020completedtot,2020attemptedtot,2020completedxp,2020attemptedxp,2020fpts
28,Dustin Hopkins,K,FA,15.0,17.0,8.0,10.0,2.0,3.0,25.0,30.0,21.0,22.0,103.0,15.0,15.0,7.0,9.0,3.0,4.0,24.0,29.0,29.0,31.0,110.62
29,Jason Sanders,K,Dolphins,15.0,16.0,5.0,9.0,3.0,5.0,23.0,30.0,29.0,30.0,109.1,15.0,16.0,7.0,10.0,3.0,5.0,25.0,30.0,28.0,31.0,109.13
30,Eddy Pineiro,K,Bears,18.0,19.0,3.0,7.0,2.0,2.0,23.0,28.0,27.0,29.0,98.0,14.0,16.0,7.0,9.0,3.0,4.0,24.0,29.0,29.0,32.0,107.09
31,Brett Maher,K,Jets,15.0,17.0,1.0,5.0,4.0,8.0,20.0,30.0,36.0,36.0,97.0,14.0,16.0,7.0,10.0,3.0,5.0,23.0,30.0,26.0,30.0,101.35
32,Matthew McCrane,K,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Sam Ficken,K,Jets,9.0,10.0,7.0,11.0,3.0,6.0,19.0,27.0,23.0,26.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Cairo Santos,K,Titans,1.0,3.0,2.0,3.0,1.0,3.0,4.0,9.0,12.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cody Parkey,K,Titans,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,5.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Chandler Catanzaro,K,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Giorgio Tavecchio,K,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Caleb Sturgis,K,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Kai Forbath,K,Cowboys,3.0,3.0,7.0,7.0,1.0,1.0,11.0,11.0,11.0,12.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
